event_ticker,market_ticker,checkpoint_offset_seconds,checkpoint_ts,model_probability,kalshi_yes_bid,kalshi_yes_ask,actual_result,kalshi_implied_vol,converted_dvol
KXBTCD-26SEP1117,KXBTCD-26SEP1117-T77499.99,3600,1789156800,0.22732359365594146,0.15,0.16,no,189.77014447617492,0.3657
KXBTCD-26SEP1117,KXBTCD-26SEP1117-T77499.99,1800,1789158600,0.27381822924120486,0.2,0.21,no,217.8393861229343,0.3661
KXBTCD-26SEP1117,KXBTCD-26SEP1117-T77499.99,600,1789159800,0.035319710100703616,0.01,0.02,no,994.7232545084343,0.3664
KXBTCD-26SEP1117,KXBTCD-26SEP1117-T77499.99,120,1789160280,0.00046856477038825783,0.0,0.01,no,2640.475584827724,0.36729999999999996
KXBTCD-26SEP1116,KXBTCD-26SEP1116-T77299.99,3600,1789153200,0.22862083053987015,0.23,0.24,yes,134.860307744797,0.3696
KXBTCD-26SEP1116,KXBTCD-26SEP1116-T77299.99,1800,1789155000,0.3709428078159943,0.31,0.32,yes,127.27458347716113,0.3682
KXBTCD-26SEP1116,KXBTCD-26SEP1116-T77299.99,600,1789156200,0.6124797738471636,0.45,0.46,yes,52.745672712767416,0.3674
KXBTCD-26SEP1116,KXBTCD-26SEP1116-T77299.99,120,1789156680,0.6036290760463725,0.6,0.61,yes,0.36082604889277065,0.3657
KXBTCD-26SEP1115,KXBTCD-26SEP1115-T77299.99,3600,1789149600,0.7411924613038019,0.73,0.74,no,0.3819587456734859,0.37079999999999996
KXBTCD-26SEP1115,KXBTCD-26SEP1115-T77299.99,1800,1789151400,0.2900488383348691,0.34,0.35,no,105.0736844233362,0.36950000000000005
KXBTCD-26SEP1115,KXBTCD-26SEP1115-T77299.99,600,1789152600,0.012829774732779131,0.07,0.08,no,659.4787736579956,0.3703
KXBTCD-26SEP1115,KXBTCD-26SEP1115-T77299.99,120,1789153080,2.568598612862072e-06,0.0,0.01,no,2640.2922574684453,0.3701
KXBTCD-26SEP1114,KXBTCD-26SEP1114-T76999.99,3600,1789146000,0.9978215688588246,0.96,0.97,yes,0.5863236442053322,0.373
KXBTCD-26SEP1114,KXBTCD-26SEP1114-T76999.99,1800,1789147800,0.9999510252145924,0.99,1.0,yes,0.5620399020660369,0.3718
KXBTCD-26SEP1114,KXBTCD-26SEP1114-T76999.99,600,1789149000,0.9999943850041436,0.99,1.0,yes,0.6337300313504537,0.3718
KXBTCD-26SEP1114,KXBTCD-26SEP1114-T76999.99,120,1789149480,1.0,0.99,1.0,yes,1.3824517682896356,0.3711
KXBTCD-26SEP1113,KXBTCD-26SEP1113-T77499.99,3600,1789142400,0.9113183843105677,0.72,0.73,yes,0.8498619749079601,0.3789
KXBTCD-26SEP1113,KXBTCD-26SEP1113-T77499.99,1800,1789144200,0.7758336637668596,0.68,0.69,yes,0.5887610410314831,0.3751
KXBTCD-26SEP1113,KXBTCD-26SEP1113-T77499.99,600,1789145400,0.9994025981502137,0.98,0.99,yes,0.556448572196684,0.3728
KXBTCD-26SEP1113,KXBTCD-26SEP1113-T77499.99,120,1789145880,0.9999999999999993,0.99,1.0,yes,1.1556047228992066,0.373
KXBTCD-26SEP1112,KXBTCD-26SEP1112-T77899.99,3600,1789138800,0.9972709810354712,0.94,0.95,no,0.6564166045807402,0.37810000000000005
KXBTCD-26SEP1112,KXBTCD-26SEP1112-T77899.99,1800,1789140600,0.9998632259775988,0.99,1.0,no,0.5311492852342675,0.3761
KXBTCD-26SEP1112,KXBTCD-26SEP1112-T77899.99,600,1789141800,0.9999970779442102,0.99,1.0,no,0.6626958486841538,0.3768
KXBTCD-26SEP1112,KXBTCD-26SEP1112-T77899.99,120,1789142280,2.520115635396003e-06,0.11,0.12,no,1229.2640497412083,0.3785
